Anio,Cveestado,Nomestado,Cveddr,Nomddr,Cvempio,Nommunicipio,Cveespecie,Nomespecie,Cveproducto,Nomproducto,Volumen,Peso,Precio,Valor,Asacrificado
2022,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,1,Abeja,7,Miel,398.401,0,49.49,19718.7,0
2022,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,3,Ave,1,Carne,121392,1.586,36.61,4444270,76530814
2022,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,3,Ave,4,Huevo plato,3506.39,0,26.51,92943.1,0
2022,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,3,Ave,8,Ganado en pie,159108,2.079,26.72,4250630,0
2022,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,4,Bovino,1,Carne,10953,266.224,85.27,933927,0
2022,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,4,Bovino,3,Ganado en pie,19576.4,475.825,45.19,884595,0
2022,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,4,Bovino,6,Leche,103053,0,7.3,752348,0
2022,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,6,Caprino,1,Carne,69.986,22.961,72.91,5102.39,3048
2022,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,6,Caprino,3,Ganado en pie,133.609,43.835,35.34,4721.35,0
2022,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,12,Ovino,1,Carne,372.222,26.086,85.25,31732.9,14269
2022,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,12,Ovino,3,Ganado en pie,709.061,49.692,38.9,27581.7,0
2022,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,14,Porcino,1,Carne,795.207,84.822,50.16,39891.5,9375
2022,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,14,Porcino,3,Ganado en pie,1046.81,111.66,32.79,34328.5,0
2022,1,Aguascalientes,1,Aguascalientes,2,Asientos,1,Abeja,7,Miel,75.32,0,49.47,3725.81,0
2022,1,Aguascalientes,1,Aguascalientes,2,Asientos,3,Ave,1,Carne,44352.3,1.585,37.71,1672570,27988464
2022,1,Aguascalientes,1,Aguascalientes,2,Asientos,3,Ave,8,Ganado en pie,58300,2.083,26.82,1563410,0
2022,1,Aguascalientes,1,Aguascalientes,2,Asientos,4,Bovino,1,Carne,576.338,262.449,84.4,48643.2,0
2022,1,Aguascalientes,1,Aguascalientes,2,Asientos,4,Bovino,3,Ganado en pie,1033.87,470.797,44.75,46263.9,0
2022,1,Aguascalientes,1,Aguascalientes,2,Asientos,4,Bovino,6,Leche,41201.2,0,7.01,288637,0
2022,1,Aguascalientes,1,Aguascalientes,2,Asientos,6,Caprino,1,Carne,40.067,22.421,72.98,2923.97,1787
2022,1,Aguascalientes,1,Aguascalientes,2,Asientos,6,Caprino,3,Ganado en pie,76.482,42.799,35.3,2699.87,0
2022,1,Aguascalientes,1,Aguascalientes,2,Asientos,12,Ovino,1,Carne,55.516,25.595,85.33,4737.03,2169
2022,1,Aguascalientes,1,Aguascalientes,2,Asientos,12,Ovino,3,Ganado en pie,106.234,48.978,38.35,4074.58,0
2022,1,Aguascalientes,1,Aguascalientes,2,Asientos,14,Porcino,1,Carne,5764.48,86.306,50.74,292486,66791
2022,1,Aguascalientes,1,Aguascalientes,2,Asientos,14,Porcino,3,Ganado en pie,7606.85,113.89,32.86,249973,0
2022,1,Aguascalientes,1,Aguascalientes,3,Calvillo,1,Abeja,7,Miel,22.719,0,49.78,1131.05,0
2022,1,Aguascalientes,1,Aguascalientes,3,Calvillo,4,Bovino,1,Carne,6224.45,258.824,83.69,520898,0
2022,1,Aguascalientes,1,Aguascalientes,3,Calvillo,4,Bovino,3,Ganado en pie,11212.6,466.24,44.22,495788,0
2022,1,Aguascalientes,1,Aguascalientes,3,Calvillo,4,Bovino,6,Leche,30552.5,0,6.98,213332,0
2022,1,Aguascalientes,1,Aguascalientes,3,Calvillo,6,Caprino,1,Carne,1.938,21.533,72.8,141.082,90
2022,1,Aguascalientes,1,Aguascalientes,3,Calvillo,6,Caprino,3,Ganado en pie,3.676,40.844,35.34,129.894,0
2022,1,Aguascalientes,1,Aguascalientes,3,Calvillo,12,Ovino,1,Carne,18.063,25.088,85.37,1542,720
2022,1,Aguascalientes,1,Aguascalientes,3,Calvillo,12,Ovino,3,Ganado en pie,34.556,47.994,38.47,1329.38,0
2022,1,Aguascalientes,1,Aguascalientes,3,Calvillo,14,Porcino,1,Carne,65.07,83.853,49.59,3226.67,776
2022,1,Aguascalientes,1,Aguascalientes,3,Calvillo,14,Porcino,3,Ganado en pie,92.777,119.558,29.69,2754.44,0
2022,1,Aguascalientes,1,Aguascalientes,4,Cosío,1,Abeja,7,Miel,34.002,0,49.57,1685.63,0
2022,1,Aguascalientes,1,Aguascalientes,4,Cosío,3,Ave,1,Carne,20594.8,1.591,37.5,772251,12943175
2022,1,Aguascalientes,1,Aguascalientes,4,Cosío,3,Ave,8,Ganado en pie,27012.4,2.087,26.76,722838,0
2022,1,Aguascalientes,1,Aguascalientes,4,Cosío,4,Bovino,1,Carne,3613.82,258.814,84.57,305612,0
2022,1,Aguascalientes,1,Aguascalientes,4,Cosío,4,Bovino,3,Ganado en pie,6503.64,465.777,44.42,288868,0
2022,1,Aguascalientes,1,Aguascalientes,4,Cosío,4,Bovino,6,Leche,28081.3,0,6.88,193233,0
2022,1,Aguascalientes,1,Aguascalientes,4,Cosío,6,Caprino,1,Carne,2.29,21.204,72.83,166.771,108
2022,1,Aguascalientes,1,Aguascalientes,4,Cosío,6,Caprino,3,Ganado en pie,4.353,40.306,35.26,153.483,0
2022,1,Aguascalientes,1,Aguascalientes,4,Cosío,12,Ovino,1,Carne,10.349,25.303,85.4,883.85,409
2022,1,Aguascalientes,1,Aguascalientes,4,Cosío,12,Ovino,3,Ganado en pie,19.547,47.792,38.6,754.58,0
2022,1,Aguascalientes,1,Aguascalientes,4,Cosío,14,Porcino,1,Carne,73.875,84.429,50.05,3697.38,875
2022,1,Aguascalientes,1,Aguascalientes,4,Cosío,14,Porcino,3,Ganado en pie,104.05,118.914,30.61,3184.7,0
2022,1,Aguascalientes,1,Aguascalientes,5,Jesús María,1,Abeja,7,Miel,15.183,0,49.82,756.353,0
2022,1,Aguascalientes,1,Aguascalientes,5,Jesús María,3,Ave,1,Carne,9996.06,1.56,37.46,374487,6409670
2022,1,Aguascalientes,1,Aguascalientes,5,Jesús María,3,Ave,4,Huevo plato,5316.5,0,26.63,141579,0
2022,1,Aguascalientes,1,Aguascalientes,5,Jesús María,3,Ave,8,Ganado en pie,13152.6,2.052,26.88,353478,0
2022,1,Aguascalientes,1,Aguascalientes,5,Jesús María,4,Bovino,1,Carne,7600.48,259.641,83.9,637676,0
2022,1,Aguascalientes,1,Aguascalientes,5,Jesús María,4,Bovino,3,Ganado en pie,13614.2,465.077,44.57,606732,0
2022,1,Aguascalientes,1,Aguascalientes,5,Jesús María,4,Bovino,6,Leche,49862.3,0,6.98,347903,0
2022,1,Aguascalientes,1,Aguascalientes,5,Jesús María,6,Caprino,1,Carne,15.347,22.77,72.85,1118.03,674
2022,1,Aguascalientes,1,Aguascalientes,5,Jesús María,6,Caprino,3,Ganado en pie,29.213,43.343,35.23,1029.14,0
2022,1,Aguascalientes,1,Aguascalientes,5,Jesús María,12,Ovino,1,Carne,62.48,25.398,85.38,5334.65,2460
